Pos,index,Rank,Player,Team,ESPN Value,UD Value
RB,1,2,Christian McCaffrey,49ers,$57,$56
RB,2,5,Breece Hall,Jets,$56,$54
RB,3,9,Bijan Robinson,Falcons,$55,$51
WR,4,1,CeeDee Lamb,Cowboys,$55,$57
WR,5,4,Tyreek Hill,Dolphins,$54,$55
WR,6,7,Ja'Marr Chase,Bengals,$53,$53
WR,7,8,Amon-Ra St. Brown,Lions,$53,$52
WR,8,3,Justin Jefferson,Vikings,$52,$55
RB,9,16,Jonathan Taylor,Colts,$51,$32
RB,10,18,Saquon Barkley,Eagles,$50,$37
WR,11,6,A.J. Brown,Eagles,$48,$53
WR,12,10,Garrett Wilson,Jets,$45,$50
WR,13,12,Puka Nacua,Rams,$46,$45
RB,14,13,Jahmyr Gibbs,Lions,$43,$46
RB,15,11,Kyren Williams,Rams,$42,$48
RB,16,31,Derrick Henry,Ravens,$32,$32
RB,17,32,Travis Etienne,Jaguars,$38,$24
WR,18,29,Chris Olave,Saints,$37,$27
WR,19,22,Davante Adams,Raiders,$36,$30
WR,20,30,Mike Evans,Bucs,$34,$28
WR,21,21,Deebo Samuel,49ers,$25,$25
WR,22,33,DK Metcalf,Seahawks,$30,$35
WR,23,20,Brandon Aiyuk,49ers,$26,$34
RB,24,27,Isiah Pacheco,Chiefs,$40,$33
RB,25,45,Rachaad White,Bucs,$31,$17
WR,26,15,Nico Collins,Texans,$30,$42
WR,27,25,Marvin Harrison,Cardinals,$33,$31
RB,28,66,Kenneth WalkerI,Seahawks,$20,$4
RB,29,46,Joe Mixon,Texans,$27,$23
RB,30,54,James Cook,Bills,$28,$10
WR,31,24,Drake London,Falcons,$32,$40
WR,32,40,DJ Moore,Bears,$24,$29
WR,33,57,Michael Pittman,Colts,$35,$10
WR,34,17,Cooper Kupp,Rams,$17,$38
QB,35,38,Josh Allen,Bills,$22,$21
TE,36,47,Sam LaPorta,Lions,$22,$18
TE,37,39,Travis Kelce,Chiefs,$22,$21
QB,38,26,Jalen Hurts,Eagles,$21,$30
RB,39,28,Josh Jacobs,Packers,$21,$20
RB,40,78,Alvin Kamara,Saints,$29,$7
RB,41,19,De'Von Achane,Dolphins,$19,$36
WR,42,43,Tee Higgins,Bengals,$14,$19
WR,43,35,DeVonta Smith,Eagles,$19,$22
WR,44,65,Calvin Ridley,Titans,$15,$7
WR,45,51,Zay Flowers,Ravens,$17,$12
WR,46,44,Stefon Diggs,Texans,$23,$15
WR,47,14,Jaylen Waddle,Dolphins,$18,$43
WR,48,41,George Pickens,Steelers,$11,$19
QB,49,42,Lamar Jackson,Ravens,$13,$14
QB,50,37,Patrick Mahomes,Chiefs,$13,$22
TE,51,50,Mark Andrews,Ravens,$12,$13
WR,52,36,Tank Dell,Texans,$10,$22
WR,53,23,Malik Nabers,Giants,$15,$26
WR,54,34,Amari Cooper,Browns,$10,$17
WR,55,58,Diontae Johnson,Panthers,$7,$9
TE,56,70,George Kittle,49ers,$6,$4
TE,57,48,Trey McBride,Cardinals,$10,$11
QB,58,53,Anthony Richardson,Colts,$9,$15
QB,59,52,C.J. Stroud,Texans,$9,$10
QB,60,88,Joe Burrow,Bengals,$9,$3
QB,61,81,Dak Prescott,Cowboys,$8,$4
RB,62,77,Rhamondre Stevenson,Patriots,$8,$4
RB,63,103,D'Andre Swift,Bears,$8,$2
RB,64,68,James Conner,Cardinals,$7,$6
RB,65,99,Aaron Jones,Vikings,$7,$2
RB,66,67,Najee Harris,Steelers,$4,$11
WR,67,74,Chris Godwin,Bucs,$11,$10
WR,68,59,Rashee Rice,Chiefs,$6,$9
WR,69,93,DeAndre Hopkins,Titans,$6,$3
WR,70,86,Christian Watson,Packers,$4,$4
WR,71,49,Christian Kirk,Jaguars,$6,$13
WR,72,71,Keenan Allen,Bears,$6,$6
TE,73,62,Kyle Pitts,Falcons,$5,$8
TE,74,95,Evan Engram,Jaguars,$10,$3
TE,75,69,David Njoku,Browns,$2,$6
RB,76,100,Jonathon Brooks,Panthers,$5,$2
RB,77,55,David Montgomery,Lions,$4,$7
RB,78,98,Zamir White,Raiders,$7,$2
RB,79,116,Brian Robinson,Commanders,$5,$2
RB,80,108,Tony Pollard,Titans,$3,$2
WR,81,87,Jordan Addison,Vikings,$4,$2
WR,82,64,Terry McLaurin,Commanders,$6,$7
WR,84,85,Jayden Reed,Packers,$4,$4
WR,85,84,Courtland Sutton,Broncos,$4,$4
WR,86,73,Jaxon Smith-Njigba,Seahawks,$4,$5
RB,87,102,Devin Singletary,Giants,$2,$2
RB,88,97,Javonte Williams,Broncos,$3,$2
RB,89,79,Raheem Mostert,Dolphins,$2,$5
RB,90,80,Jaylen Warren,Steelers,$4,$3
QB,91,75,Kyler Murray,Cardinals,$3,$2
QB,92,89,Jordan Love,Packers,$3,$2
QB,93,118,Brock Purdy,49ers,$3,$2
WR,94,56,Xavier Worthy,Chiefs,$3,$6
WR,95,72,Rome Odunze,Bears,$3,$6
WR,96,91,Keon Coleman,Bills,$2,$3
WR,97,76,Ladd McConkey,Chargers,$2,$5
WR,98,111,Mike Williams,Jets,$2,$2
QB,99,106,Jayden Daniels,Commanders,$2,$2
TE,100,82,Jake Ferguson,Cowboys,$2,$6
TE,101,61,Dalton Kincaid,Bills,$5,$8
RB,102,146,Ezekiel Elliott,Cowboys,$2,$1
RB,103,83,Zack Moss,Bengals,$2,$0
RB,104,107,Tyjae Spears,Titans,$3,$2
RB,105,132,Austin Ekeler,Commanders,$3,$1
RB,106,115,Gus Edwards,Chargers,$2,$2
WR,107,63,Brian Thomas,Jaguars,$2,$8
WR,108,126,Tyler Lockett,Seahawks,$2,$1
WR,109,127,Jakobi Meyers,Raiders,$2,$1
TE,110,105,Dallas Goedert,Eagles,$2,$3
TE,111,104,Brock Bowers,Raiders,$2,$3
TE,112,122,Pat Freiermuth,Steelers,$1,$1
RB,113,165,Nick Chubb,Browns,$2,$1
RB,114,163,J.K. Dobbins,Chargers,$2,$0
RB,115,117,Chase Brown,Bengals,$2,$2
RB,116,131,Jerome Ford,Browns,$2,$1
RB,117,138,Chuba Hubbard,Panthers,$2,$1
QB,118,147,Aaron Rodgers,Jets,$2,$1
QB,119,145,Justin Herbert,Chargers,$2,$1
QB,120,169,Kirk Cousins,Falcons,$2,$0
RB,121,130,Zach Charbonnet,Seahawks,$1,$1
RB,122,133,Tyler Allgeier,Falcons,$1,$1
RB,123,139,Ty Chandler,Vikings,$1,$1
RB,124,134,Trey Benson,Cardinals,$1,$1
WR,125,141,Darnell Mooney,Falcons,$1,$1
WR,126,114,Jerry Jeudy,Browns,$1,$2
WR,127,123,Gabe Davis,Jaguars,$1,$1
WR,128,152,Adam Thielen,Panthers,$1,$1
WR,129,92,Curtis Samuel,Bills,$1,$3
WR,130,110,Jameson Williams,Lions,$1,$2
WR,131,112,Rashid Shaheed,Saints,$1,$1
QB,132,90,Caleb Williams,Bears,$1,$4
QB,133,129,Deshaun Watson,Browns,$1,$1
QB,134,120,Trevor Lawrence,Jaguars,$1,$2
TE,135,151,T.J. Hockenson,Vikings,$2,$1
TE,137,167,Dalton Schultz,Texans,$1,$0
WR,138,180,Demario Douglas,Patriots,$1,$0
WR,139,124,Khalil Shakir,Bills,$1,$1
WR,140,140,Ja'Lynn Polk,Patriots,$1,$1
WR,141,128,Adonai Mitchell,Colts,$1,$1
RB,142,176,Antonio Gibson,Patriots,$1,$0
RB,143,101,Blake Corum,Rams,$1,$5
RB,144,276,Kendre Miller,Saints,$1,$0
RB,145,164,MarShawn Lloyd,Packers,$1,$0
RB,146,178,Jaleel McLaughlin,Broncos,$1,$0
WR,147,159,Xavier Legette,Panthers,$1,$1
WR,148,94,Joshua Palmer,Chargers,$1,$3
WR,149,256,Kendrick Bourne,Patriots,$1,$0
WR,150,160,Marvin Mims,Broncos,$1,$1
WR,151,109,Romeo Doubs,Packers,$1,$2
WR,152,125,Dontayvion Wicks,Packers,$1,$1
RB,153,96,Rico Dowdle,Cowboys,$1,$2
RB,154,280,Miles Sanders,Panthers,$1,$0
RB,155,161,Khalil Herbert,Bears,$1,$0
RB,156,157,Ray Davis,Bills,$1,$1
RB,157,179,Jaylen Wright,Dolphins,$1,$0
RB,158,199,Alexander Mattison,Raiders,$1,$0
RB,159,204,Elijah Mitchell,49ers,$1,$0
WR,160,113,Brandin Cooks,Cowboys,$1,$2
WR,161,154,Josh Downs,Colts,$0,$1
WR,162,182,Ricky Pearsall,49ers,$0,$0
QB,163,121,Tua Tagovailoa,Dolphins,$0,$1
QB,164,135,Jared Goff,Lions,$0,$2
TE,165,190,Cole Kmet,Bears,$1,$0
TE,166,143,Tyler Conklin,Jets,$0,$1
TE,168,166,Juwan Johnson,Saints,$0,$0
TE,193,142,Hunter Henry,Patriots,$0,$1
WR,194,260,Quentin Johnston,Chargers,$0,$0
RB,195,172,Clyde Edwards-Helaire,Chiefs,$0,$0
RB,196,155,Braelon Allen,Jets,$0,$1
QB,197,119,Matthew Stafford,Rams,$0,$2
QB,198,191,Bryce Young,Panthers,$0,$0
QB,199,168,Daniel Jones,Giants,$0,$0
QB,200,185,Baker Mayfield,Bucs,$0,$0
WR,201,158,Demarcus Robinson,Rams,$0,$1
WR,202,181,Wan'Dale Robinson,Giants,$0,$0
WR,203,262,Tyler Boyd,Titans,$0,$0
WR,204,222,Darius Slayton,Giants,$0,$0
WR,205,194,Jalin Hyatt,Giants,$0,$0
TE,206,229,Tucker Kraft,Packers,$0,$0
TE,207,137,Luke Musgrave,Packers,$0,$1
WR,208,148,Jahan Dotson,Commanders,$0,$1
WR,209,195,Jermaine Burton,Bengals,$0,$0
WR,210,236,DJ Chark,Chargers,$0,$0
WR,211,266,Zay Jones,Cardinals,$0,$0
RB,212,277,Keaton Mitchell,Ravens,$0,$0
RB,213,234,Jamaal Williams,Saints,$0,$0
RB,214,175,Tank Bigsby,Jaguars,$0,$0
TE,215,209,Cade Otton,Bucs,$0,$0
TE,216,144,Noah Fant,Seahawks,$0,$1
TE,217,251,Hayden Hurst,Chargers,$0,$0
QB,218,136,Geno Smith,Seahawks,$0,$0
QB,219,187,Will Levis,Titans,$0,$0
QB,220,193,Russell Wilson,Steelers,$0,$0
RB,221,232,Kenneth Gainwell,Eagles,$0,$0
RB,222,202,Roschon Johnson,Bears,$0,$0
RB,223,162,Tyrone Tracy,Giants,$0,$0
WR,224,149,Rashod Bateman,Ravens,$0,$1
RB,225,231,Justice Hill,Ravens,$0,$0
RB,226,174,Bucky Irving,Bucs,$0,$0
WR,227,183,Jalen Tolbert,Cowboys,$0,$0
WR,228,153,Michael Wilson,Cardinals,$0,$1
WR,229,240,Luke McCaffrey,Commanders,$0,$0
WR,231,184,Jalen McMillan,Bucs,$0,$0
WR,232,196,Odell Beckham,Dolphins,$0,$0
WR,233,265,Trey Palmer,Bucs,$0,$0
WR,234,239,Malachi Corley,Jets,$0,$0
RB,239,278,D'Onta Foreman,Browns,$0,$0
RB,240,173,Dameon Pierce,Texans,$0,$0
RB,242,177,Audric Estime,Broncos,$0,$0
RB,249,201,Trey Sermon,Colts,$0,$0
WR,252,219,Kalif Raymond,Lions,$0,$0
TE,258,211,Dawson Knox,Bills,$0,$0
TE,259,189,Jonnu Smith,Dolphins,$0,$0
TE,260,248,Jelani Woods,Colts,$0,$0
WR,261,214,Van Jefferson,Steelers,$0,$0
WR,262,264,Elijah Moore,Browns,$0,$0
WR,263,217,Roman Wilson,Steelers,$0,$0
WR,264,237,Tim Patrick,Broncos,$0,$0
QB,267,186,Bo Nix,Broncos,$0,$0
QB,268,207,Derek Carr,Saints,$0,$0
QB,269,208,J.J. McCarthy,Vikings,$0,$0
QB,270,192,Drake Maye,Patriots,$0,$0
WR,271,223,Tre Tucker,Raiders,$0,$0
WR,272,197,Cedric Tillman,Browns,$0,$0
WR,273,220,Josh Reynolds,Broncos,$0,$0
RB,277,198,Kimani Vidal,Chargers,$0,$0
RB,282,203,Will Shipley,Eagles,$0,$0
RB,283,156,Jordan Mason,49ers,$0,$1
WR,284,150,Andrei Iosivas,Bengals,$0,$1
TE,289,171,Ben Sinnott,Commanders,$0,$0
TE,290,170,Colby Parkinson,Rams,$0,$0
TE,291,228,Greg Dulcich,Broncos,$0,$0
TE,292,253,Zach Ertz,Commanders,$0,$0
TE,293,210,Isaiah Likely,Ravens,$0,$0
WR,294,269,Troy Franklin,Broncos,$0,$0
WR,295,272,Tutu Atwell,Rams,$0,$0
QB,296,244,Gardner Minshew,Raiders,$0,$0
QB,301,212,Aidan O'Connell,Raiders,$0,$0
QB,302,188,Sam Darnold,Vikings,$0,$0
RB,307,233,Samaje Perine,Broncos,$0,$0
QB,310,243,Jacoby Brissett,Patriots,$0,$0
TE,311,252,Daniel Bellinger,Giants,$0,$0
TE,312,245,Mike Gesicki,Bengals,$0,$0
TE,313,246,Michael Mayer,Raiders,$0,$0
QB,315,206,Justin Fields,Steelers,$0,$0
QB,316,242,Michael Penix,Falcons,$0,$0
RB,320,200,AJ Dillon,Packers,$0,$0
TE,325,227,Will Dissly,Chargers,$0,$0
TE,326,247,Tommy Tremble,Panthers,$0,$0
TE,328,230,Theo Johnson,Giants,$0,$0
TE,332,249,Gerald Everett,Bears,$0,$0
WR,369,238,Xavier Gipson,Jets,$0,$0
WR,370,273,Devontez Walker,Ravens,$0,$0
WR,371,261,Noah Brown,Texans,$0,$0
WR,372,257,Jauan Jennings,49ers,$0,$0
WR,375,221,Treylon Burks,Titans,$0,$0
WR,377,216,Greg Dortch,Cardinals,$0,$0
WR,378,271,Calvin AustinI,Steelers,$0,$0
TE,380,254,Ja'Tavion Sanders,Panthers,$0,$0
WR,387,225,K.J. Osborn,Patriots,$0,$0
WR,391,255,Cedrick Wilson,Saints,$0,$0
